"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 27 13:16:50 CET 2024","Tue Feb 27 13:17:10 CET 2024","20149","chromium","","Navigate 1","","","Navigate to Launge of Warehouse website",""
"passed","Tue Feb 27 13:17:41 CET 2024","Tue Feb 27 13:17:52 CET 2024","11616","webkit","","","","","has title",""
"passed","Tue Feb 27 13:17:42 CET 2024","Tue Feb 27 13:17:55 CET 2024","12982","webkit","","","","","get started link",""
"passed","Tue Feb 27 13:17:43 CET 2024","Tue Feb 27 13:18:01 CET 2024","17487","webkit","","","","","record example",""
"passed","Tue Feb 27 13:17:19 CET 2024","Tue Feb 27 13:17:39 CET 2024","20093","firefox","","","","","record example",""
"skipped","Tue Feb 27 13:17:22 CET 2024","Tue Feb 27 13:17:38 CET 2024","15799","firefox","","Navigate 1","","","Navigate to Launge of Warehouse website",""
"passed","Tue Feb 27 13:16:50 CET 2024","Tue Feb 27 13:17:19 CET 2024","28736","chromium","","","","","record example",""
"passed","Tue Feb 27 13:16:50 CET 2024","Tue Feb 27 13:17:07 CET 2024","16904","chromium","","","","","get started link",""
"passed","Tue Feb 27 13:17:27 CET 2024","Tue Feb 27 13:17:33 CET 2024","5600","firefox","","Navigate 1","","","Just expect the page URL ",""
"passed","Tue Feb 27 13:17:19 CET 2024","Tue Feb 27 13:17:36 CET 2024","16723","firefox","","","","","get started link",""
"passed","Tue Feb 27 13:17:07 CET 2024","Tue Feb 27 13:17:16 CET 2024","8774","chromium","","Navigate 2","","","Navigate to Launge of Warehouse website 2",""
"passed","Tue Feb 27 13:17:06 CET 2024","Tue Feb 27 13:17:15 CET 2024","8554","chromium","","Navigate 1","","","Just expect the page URL ",""
"passed","Tue Feb 27 13:17:33 CET 2024","Tue Feb 27 13:17:43 CET 2024","9762","firefox","","Navigate 2","","","Navigate to Launge of Warehouse website 2",""
"passed","Tue Feb 27 13:17:53 CET 2024","Tue Feb 27 13:18:12 CET 2024","19375","webkit","","Navigate 1","","","Navigate to Launge of Warehouse website",""
"passed","Tue Feb 27 13:17:52 CET 2024","Tue Feb 27 13:18:08 CET 2024","15420","webkit","","Navigate 1","","","Just expect the page URL ",""
"passed","Tue Feb 27 13:17:55 CET 2024","Tue Feb 27 13:18:08 CET 2024","13020","webkit","","Navigate 2","","","Navigate to Launge of Warehouse website 2",""
"passed","Tue Feb 27 13:17:13 CET 2024","Tue Feb 27 13:17:27 CET 2024","13942","firefox","","","","","has title",""
"passed","Tue Feb 27 13:16:50 CET 2024","Tue Feb 27 13:17:06 CET 2024","16430","chromium","","","","","has title",""
